Transaction_ID,Date,Shop,Location,Staff,Business Type,Item,Category,Weight,Karat,Making,Sales,Cost,Profit
1085,3/21/2025,Alras,UAE,BABY JEAN-386,Retail,999,LOOSE,25.04,999,0.4,9140,7091.098243,2048.901757
1086,3/24/2025,Alras,UAE,BABY JEAN-386,Retail,999,LOOSE,10.07,999,0.45,3676,2853.972922,822.0270775
1087,3/23/2025,Alras,UAE,BABY JEAN-386,Retail,999,LOOSE,30.02,999,163.71,11106,8501.436752,2604.563248
1088,1/7/2025,Alras,UAE,HISHAMUDEEN,Retail,22K,Bangle,33.65,22K,954.68,10906.67,9211.6875,1694.9825
1089,1/4/2025,Alras,UAE,HISHAMUDEEN,Retail,22K,Chain,9.33,22K,0.31,2766.66,2479.4475,287.2125
1090,1/3/2025,Alras,UAE,HISHAMUDEEN,Retail,22K,Rings,2.72,22K,122.1,928.58,747.32,181.26
1091,1/5/2025,Alras,UAE,HISHAMUDEEN,Retail,22K,SET,6.68,22K,212.71,2193.33,1805.27,388.06
1092,1/3/2025,Alras,UAE,HISHAMUDEEN,Retail,22K,Ring,1.32,22K,50.52,441.9,352.77,89.13
1093,1/3/2025,Alras,UAE,HISHAMUDEEN,Retail,22K,RING,2.37,22K,67.76,770.47,640.4925,129.9775
1094,1/3/2025,Alras,UAE,HISHAMUDEEN,Retail,22K,Bangle,14,22K,160.43,4311.43,3727.5,583.93
1095,1/5/2025,Alras,UAE,HISHAMUDEEN,Retail,22K,LOCKET,0.61,22K,34.37,215.24,164.8525,50.3875
1096,1/5/2025,Alras,UAE,HISHAMUDEEN,Retail,22K,HOOK,0.95,22K,38.32,320,250.7740278,69.22597219
1097,1/5/2025,Alras,UAE,HISHAMUDEEN,Retail,22K,Ring,2.31,22K,85.55,770.47,625.4325,145.0375
1098,1/7/2025,Alras,UAE,HISHAMUDEEN,Retail,22K,RING,4.59,22K,118.7,1476.19,1226.6775,249.5125
1099,1/5/2025,Alras,UAE,HISHAMUDEEN,Retail,22K,LOCKET,0.97,22K,35.25,322.86,257.2925,65.5675
1100,1/5/2025,Alras,UAE,HISHAMUDEEN,Retail,22K,LOCKET,1.15,22K,35.21,376.19,305.0375,71.1525
1101,1/2/2025,Alras,UAE,HISHAMUDEEN,Retail,22K,Chain,39.28,22K,0.68,11598.1,10438.66,1159.44
1102,1/2/2025,Alras,UAE,HISHAMUDEEN,Retail,22K,Anklet,6.52,22K,59.73,1984.76,1735.95,248.81
1103,1/8/2025,Alras,UAE,HISHAMUDEEN,Retail,24K,BAR,10,24K,299.05,3504.05,2850,654.05
1104,1/8/2025,Alras,UAE,HISHAMUDEEN,Retail,999,LOOSE,5.43,999,0.18,1750,1536.300871,213.6991293
1105,1/2/2025,Alras,UAE,HISHAMUDEEN,Retail,999,LOOSE,50.09,999,0.68,16042,14190.82516,1851.174843
1106,1/9/2025,Alras,UAE,HISHAMUDEEN,Retail,999,LOOSE,20,999,0,6440,5658.566743,781.4332572
1107,1/6/2025,Alras,UAE,HISHAMUDEEN,Retail,999,LOOSE,5,999,127.75,1724,1414.881464,309.1185357
1108,4/25/2025,Alras,UAE,KRISHNA -111,Retail,22K,Chain,5.71,22K,0.14,2088.57,1517.4325,571.1375
1109,2/5/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,22K,Chain,3.83,22K,0.1,1228.57,1017.8225,210.7475
1110,2/9/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,22K,Chain,28.02,22K,3.06,8990.48,7446.315,1544.165
1111,2/15/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,22K,BANGLE,3.83,22K,56.23,1295.24,1019.7375,275.5025
1112,2/8/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,22K,RING,6.22,22K,147.79,2142.86,1693.395,449.465
1113,2/5/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,22K,Bracelet,3.55,22K,124.46,1266.67,957.6125,309.0575
1114,2/9/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,22K,Ring,2.18,22K,72.19,771.43,594.595,176.835
1115,2/9/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,22K,Ring,2.31,22K,68.59,809.52,615.0375,194.4825
1116,2/13/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,22K,Ring,4.26,22K,105.91,1500,1166.175,333.825
1117,2/18/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,22K,Ring,3.94,22K,115.39,1404.76,1060.845,343.915
1118,2/10/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,22K,CHAIN,6.37,22K,1.22,2057.14,1692.966366,364.173634
1119,2/25/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,22K,Ring,1.76,22K,83.38,657.14,481.8,175.34
1120,2/25/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,22K,Ring,1.29,22K,83.27,503.81,349.2675,154.5425
1121,2/24/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,22K,Bracelet,3.26,22K,80.52,1157.14,887.535,269.605
1122,2/26/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,22K,Bracelet,7.18,22K,278.26,2617.15,1994.245,622.905
1123,2/7/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,24K,BAR,2.5,24K,53.57,917.32,706.25,211.07
1124,2/9/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,24K,BAR,4,24K,39.05,1418.05,1130,288.05
1125,2/8/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,999,LOOSE,20.04,999,1.21,6910,5681.221852,1228.778148
1126,2/10/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,999,LOOSE,10.04,999,1.12,3485,2842.723302,642.2766977
1127,2/10/2025,Alras,UAE,KRISHNA BAHADUR-185,Retail,999,LOOSE,22.56,999,41.64,7932,6387.633237,1544.366763
1128,1/19/2025,Alras,UAE,MAMSHAD-284,Retail,18K,CHAIN,5.9,18K,173.3,1657.15,1371.75,285.4
1129,2/2/2025,Alras,UAE,MAMSHAD-284,Retail,18K,CHAIN,1.15,18K,105.18,404.76,269.1,135.66
1130,2/2/2025,Alras,UAE,MAMSHAD-284,Retail,18K,CHAIN,1.15,18K,105.18,404.76,269.1,135.66
1131,2/23/2025,Alras,UAE,MAMSHAD-284,Retail,18K,CHAIN,1.91,18K,61.44,578.1,454.58,123.52
1132,1/20/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Rings,2.25,22K,98.08,780.96,638.4375,142.5225
1133,1/20/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Rings,1.38,22K,68.79,487.62,375.705,111.915
1134,1/20/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Rings,5.4,22K,166.81,1805.71,1459.35,346.36
1135,1/20/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Chain,32.32,22K,247.07,10056.19,8589.04,1467.15
1136,1/20/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Ring,2,22K,66.33,673.33,531.5,141.83
1137,1/29/2025,Alras,UAE,MAMSHAD-284,Retail,22K,CHAIN,28.13,22K,0.07,8713.34,7475.5475,1237.7925
1138,1/31/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Ring,2.49,22K,92.46,876.19,669.1875,207.0025
1139,4/25/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Chain,2.14,22K,79.68,866.67,581.545,285.125
1140,3/16/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Rings,5.81,22K,156.55,2100,1570.1525,529.8475
1141,3/30/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Ring,2.32,22K,87.06,885.72,630.46,255.26
1142,1/9/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Anklet,30.08,22K,344.73,9308.57,8008.8,1299.77
1143,1/21/2025,Alras,UAE,MAMSHAD-284,Retail,22K,ANKLET,32.01,22K,359.99,10139.05,8554.6725,1584.3775
1144,1/21/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Anklet,-30.08,22K,-344.73,-9308.57,8008.8,-1299.77
1145,2/15/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Chain,6.47,22K,2.19,2095.24,1719.4025,375.8375
1146,4/2/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Ring,2.56,22K,103.08,995.24,691.84,303.4
1147,1/1/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Locket,2.31,22K,150.17,830.47,683.1825,147.2875
1148,1/1/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Rings,2.32,22K,85.33,768.57,626.98,141.59
1149,1/4/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Rings,3.25,22K,108.75,1072.38,889.6875,182.6925
1150,1/4/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Locket,2.02,22K,78.21,677.14,544.895,132.245
1151,1/4/2025,Alras,UAE,MAMSHAD-284,Retail,22K,COIN,0.15,22K,0.29,44.77,39.2625,5.5075
1152,1/9/2025,Alras,UAE,MAMSHAD-284,Retail,22K,EARRING,2.32,22K,128.39,823.81,626.98,196.83
1153,1/11/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Chain,33.3,22K,0.3,10048.58,8849.475,1199.105
1154,1/15/2025,Alras,UAE,MAMSHAD-284,Retail,22K,NECKLACE,4.22,22K,92.23,1366.67,1172.105,194.565
1155,2/7/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Bangle,9.3,22K,81.36,3066.66,2480.775,585.885
1156,2/7/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Bangle,9.48,22K,80.73,3123.81,2528.79,595.02
1157,1/5/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Bracelet,5.58,22K,145.53,1800,1521.945,278.055
1158,3/29/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Chain,5.01,22K,197.22,1921.91,1351.4475,570.4625
1159,1/2/2025,Alras,UAE,MAMSHAD-284,Retail,22K,LOCKET,1.35,22K,63.31,461.9,358.7625,103.1375
1160,1/2/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Ring,3.57,22K,79.3,1133.34,952.2975,181.0425
1161,1/2/2025,Alras,UAE,MAMSHAD-284,Retail,22K,RING,3.82,22K,79.76,1207.62,1017.075,190.545
1162,1/10/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Bracelet,6.42,22K,145.37,2076.19,1757.475,318.715
1163,1/11/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Chain,19.92,22K,51.05,6061.91,5293.74,768.17
1164,1/11/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Bracelet,11.32,22K,232.76,3648.57,3059.23,589.34
1165,1/2/2025,Alras,UAE,MAMSHAD-284,Retail,22K,CHAIN,24.98,22K,702.95,8109.52,7038.115,1071.405
1166,1/11/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Bangle,11.2,22K,0.4,3380,2976.4,403.6
1167,1/16/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Bracelet,5.05,22K,126.99,1657.14,1374.8625,282.2775
1168,1/21/2025,Alras,UAE,MAMSHAD-284,Retail,22K,BRACELET,8.98,22K,115.99,2857.14,2399.905,457.235
1169,1/1/2025,Alras,UAE,MAMSHAD-284,Retail,22K,CHAIN,8.06,22K,0.62,2374.29,2109.705,264.585
1170,1/1/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Ring,2.01,22K,50.9,642.85,544.2075,98.6425
1171,1/4/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Ring,4.14,22K,153.44,1380.95,1120.905,260.045
1172,1/8/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Necklace,27.28,22K,761.8,8857.14,7484.5408,1372.5992
1173,1/18/2025,Alras,UAE,MAMSHAD-284,Retail,22K,BANGLE,14.83,22K,296.99,4790.48,3992.9775,797.5025
1174,1/18/2025,Alras,UAE,MAMSHAD-284,Retail,22K,BANGLE,15.25,22K,303.06,4923.81,4106.0575,817.7525
1175,3/2/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Chain,5.86,22K,2.82,1880.95,1557.295,323.655
1176,1/25/2025,Alras,UAE,MAMSHAD-284,Retail,22K,COIN,0.15,22K,0,0,39.2625,-39.2625
1177,1/25/2025,Alras,UAE,MAMSHAD-284,Retail,22K,COIN,0.15,22K,0,0,39.2625,-39.2625
1178,1/25/2025,Alras,UAE,MAMSHAD-284,Retail,22K,COIN,0.15,22K,0,0,39.2625,-39.2625
1179,1/20/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Rings,8.32,22K,257.91,2780.95,2269.28,511.67
1180,1/20/2025,Alras,UAE,MAMSHAD-284,Retail,22K,BANGLE,14.73,22K,466.47,4933.34,4021.29,912.05
1181,1/17/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Ring,3.72,22K,134.86,1266.67,1007.19,259.48
1182,1/23/2025,Alras,UAE,MAMSHAD-284,Retail,22K,LOCKET,1.61,22K,76.76,571.43,435.1025,136.3275
1183,1/23/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Chain,6.09,22K,52.66,1923.81,1618.4175,305.3925
1184,1/26/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Necklace,10.16,22K,109.45,3266.67,2730.5,536.17
1185,1/3/2025,Alras,UAE,MAMSHAD-284,Retail,22K,BANGLE,7.3,22K,25.08,2189.53,1939.975,249.555
1186,1/3/2025,Alras,UAE,MAMSHAD-284,Retail,22K,BANGLE,7.21,22K,25.09,2162.86,1916.0575,246.8025
1187,1/15/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Locket,1.47,22K,49.48,490.48,392.8575,97.6225
1188,1/15/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Bangle,11.5,22K,0.33,3473.33,3056.125,417.205
1189,1/29/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Bangle,10.37,22K,79.74,3286.66,2755.8275,530.8325
1190,1/29/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Bangle,10.36,22K,80.93,3284.76,2753.17,531.59
1191,1/29/2025,Alras,UAE,MAMSHAD-284,Retail,22K,RING,5.32,22K,123.36,1768.57,1437.73,330.84
1192,1/30/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Locket,0.97,22K,33.31,336.19,265.5375,70.6525
1193,1/30/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Chain,5.11,22K,1.54,1597.14,1357.9825,239.1575
1194,2/2/2025,Alras,UAE,MAMSHAD-284,Retail,22K,COIN,4,22K,48.76,1304.76,1056,248.76
1195,2/2/2025,Alras,UAE,MAMSHAD-284,Retail,22K,EARRING,4.23,22K,144.16,1472.38,1153.7325,318.6475
1196,2/4/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Chain,9.06,22K,16.78,2893.33,2407.695,485.635
1197,2/4/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Locket,1.58,22K,60.26,561.91,430.155,131.755
1198,1/9/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Bangle,5.34,22K,94.39,1685.71,1429.785,255.925
1199,1/9/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Maatti,4.59,22K,89.32,1457.14,1233.5625,223.5775
1200,1/15/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Ring,2.62,22K,71.14,857.14,719.845,137.295
1201,1/15/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Ring,2.7,22K,70.95,880.95,741.825,139.125
1202,1/15/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Ring,2.53,22K,69.57,828.57,695.1175,133.4525
1203,1/15/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Ring,2.81,22K,71.29,914.29,772.0475,142.2425
1204,1/16/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Chain,40.78,22K,21.19,12357.14,10857.675,1499.465
1205,1/31/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Bangle,16.57,22K,382.78,5573.33,4469.7575,1103.5725
1206,1/31/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Necklace,20.18,22K,550.04,6871.43,5524.275,1347.155
1207,1/31/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Bangle,8.78,22K,1.25,2764.76,2337.675,427.085
1208,1/31/2025,Alras,UAE,MAMSHAD-284,Retail,22K,Bangle,8.64,22K,1.51,2720.95,2300.4,420.55
